HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,season
Fulham,Arsenal,6.0,4.33,1.53,1.72,2020-21
Crystal Palace,Southampton,3.1,3.25,2.37,2.2,2020-21
Liverpool,Leeds,1.28,6.0,9.5,1.53,2020-21
West Ham,Newcastle,2.15,3.4,3.4,1.9,2020-21
West Brom,Leicester,3.8,3.6,1.95,1.9,2020-21
Spurs,Everton,1.83,3.6,4.33,1.9,2020-21
Brighton,Chelsea,5.0,4.33,1.61,1.72,2020-21
Sheffield Utd,Wolves,3.25,3.1,2.37,2.62,2020-21
Everton,West Brom,1.5,4.2,6.5,1.87,2020-21
Leeds,Fulham,1.61,3.9,5.75,1.97,2020-21
Man Utd,Crystal Palace,1.3,5.5,9.5,1.66,2020-21
Arsenal,West Ham,1.53,4.5,5.5,1.66,2020-21
Southampton,Spurs,3.0,3.3,2.37,2.02,2020-21
Newcastle,Brighton,2.6,3.1,2.87,2.37,2020-21
Chelsea,Liverpool,3.1,3.6,2.2,1.61,2020-21
Leicester,Burnley,1.61,4.0,5.5,1.9,2020-21
Aston Villa,Sheffield Utd,2.7,3.1,2.75,2.2,2020-21
Wolves,Man City,6.5,4.33,1.5,1.72,2020-21
Brighton,Man Utd,4.75,3.75,1.72,1.9,2020-21
Crystal Palace,Everton,3.75,3.25,2.1,2.1,2020-21
West Brom,Chelsea,9.0,4.75,1.36,1.66,2020-21
Burnley,Southampton,3.2,3.3,2.3,2.1,2020-21
Sheffield Utd,Leeds,2.7,3.3,2.62,1.9,2020-21
Spurs,Newcastle,1.45,4.5,7.0,1.72,2020-21
Man City,Leicester,1.28,6.0,9.5,1.4,2020-21
West Ham,Wolves,3.6,3.5,2.05,2.1,2020-21
Fulham,Aston Villa,2.9,3.25,2.5,2.0,2020-21
Liverpool,Arsenal,1.45,4.75,6.5,1.53,2020-21
Chelsea,Crystal Palace,1.4,4.75,8.0,1.61,2020-21
Everton,Brighton,1.72,3.75,4.8,1.8,2020-21
Leeds,Man City,7.5,5.25,1.36,1.36,2020-21
Newcastle,Burnley,2.4,3.2,3.1,2.3,2020-21
