fixture_id_player,season,home_team,away_team
20217,2020-21,Brighton,Chelsea
202116,2020-21,Newcastle,Brighton
202119,2020-21,Brighton,Man Utd
202132,2020-21,Everton,Brighton
202140,2020-21,Crystal Palace,Brighton
202151,2020-21,Brighton,West Brom
202167,2020-21,Spurs,Brighton
202170,2020-21,Brighton,Burnley
202179,2020-21,Aston Villa,Brighton
202190,2020-21,Brighton,Liverpool
2021100,2020-21,Brighton,Southampton
2021114,2020-21,Leicester,Brighton
2021121,2020-21,Fulham,Brighton
2021129,2020-21,Brighton,Sheffield Utd
2021147,2020-21,West Ham,Brighton
2021149,2020-21,Brighton,Arsenal
2021159,2020-21,Brighton,Wolves
2021178,2020-21,Man City,Brighton
2021182,2020-21,Leeds,Brighton
2021189,2020-21,Brighton,Fulham
2021200,2020-21,Brighton,Spurs
2021216,2020-21,Liverpool,Brighton
2021220,2020-21,Burnley,Brighton
2021230,2020-21,Brighton,Aston Villa
2021241,2020-21,Brighton,Crystal Palace
2021258,2020-21,West Brom,Brighton
2021260,2020-21,Brighton,Leicester
2021277,2020-21,Southampton,Brighton
2021279,2020-21,Brighton,Newcastle
2021295,2020-21,Man Utd,Brighton
2021299,2020-21,Brighton,Everton
2021311,2020-21,Chelsea,Brighton
2021326,2020-21,Sheffield Utd,Brighton
2021329,2020-21,Brighton,Leeds
2021348,2020-21,Wolves,Brighton
2021349,2020-21,Brighton,West Ham
2021359,2020-21,Brighton,Man City
2021369,2020-21,Arsenal,Brighton
21222,2021-22,Burnley,Brighton
212212,2021-22,Brighton,Watford
212222,2021-22,Brighton,Everton
212232,2021-22,Brentford,Brighton
212242,2021-22,Brighton,Leicester
212254,2021-22,Crystal Palace,Brighton
212261,2021-22,Brighton,Arsenal
212278,2021-22,Norwich,Brighton
212283,2021-22,Brighton,Man City
212294,2021-22,Liverpool,Brighton
2122103,2021-22,Brighton,Newcastle
2122111,2021-22,Aston Villa,Brighton
2122123,2021-22,Brighton,Leeds
2122136,2021-22,West Ham,Brighton
2122146,2021-22,Southampton,Brighton
2122163,2021-22,Brighton,Wolves
2122182,2021-22,Brighton,Brentford
2122193,2021-22,Chelsea,Brighton
2122205,2021-22,Everton,Brighton
2122212,2021-22,Brighton,Crystal Palace
2122232,2021-22,Brighton,Chelsea
2122227,2021-22,Leicester,Brighton
2122250,2021-22,Watford,Brighton
2122174,2021-22,Man Utd,Brighton
2122253,2021-22,Brighton,Burnley
2122263,2021-22,Brighton,Aston Villa
2122276,2021-22,Newcastle,Brighton
2122283,2021-22,Brighton,Liverpool
2122153,2021-22,Brighton,Spurs
2122301,2021-22,Brighton,Norwich
2122311,2021-22,Arsenal,Brighton
2122327,2021-22,Spurs,Brighton
2122295,2021-22,Man City,Brighton
2122333,2021-22,Brighton,Southampton
2122350,2021-22,Wolves,Brighton
2122353,2021-22,Brighton,Man Utd
2122363,2021-22,Leeds,Brighton
2122373,2021-22,Brighton,West Ham
